freq,sex,indic_se,isco08,sizeclas,nace_r2,unit,geo\TIME_PERIOD,2022
A,F,HOL,OC1,GE10,B-S,NR,SE,31.0
A,F,HOL,OC1,GE10,B-S,NR,SI,30.0
A,F,HOL,OC1,GE10,B-S,NR,SK,30.0
A,F,HOL,OC1,GE10,B-S_X_O,NR,AL,24.0
A,F,HOL,OC1,GE10,B-S_X_O,NR,AT,25.0
A,F,HOL,OC1,GE10,B-S_X_O,NR,BA,25.0
A,F,HOL,OC1,GE10,B-S_X_O,NR,BE,22.0
A,F,HOL,OC1,GE10,B-S_X_O,NR,BG,27.0
A,F,HOL,OC1,GE10,B-S_X_O,NR,CH,22.0
A,F,HOL,OC1,GE10,B-S_X_O,NR,CZ,29.0
A,F,HOL,OC1,GE10,B-S_X_O,NR,DE,28.0
A,F,HOL,OC1,GE10,B-S_X_O,NR,DK,25.0
A,F,HOL,OC1,GE10,B-S_X_O,NR,EA19,27.0
A,F,HOL,OC1,GE10,B-S_X_O,NR,EA20,27.0
A,F,HOL,OC1,GE10,B-S_X_O,NR,EE,23.0
A,F,HOL,OC1,GE10,B-S_X_O,NR,EL,30.0
A,F,HOL,OC1,GE10,B-S_X_O,NR,ES,25.0
A,F,HOL,OC1,GE10,B-S_X_O,NR,EU27_2020,27.0
A,F,HOL,OC1,GE10,B-S_X_O,NR,FI,26.0
A,F,HOL,OC1,GE10,B-S_X_O,NR,FR,28.0
A,F,HOL,OC1,GE10,B-S_X_O,NR,HR,22.0
A,F,HOL,OC1,GE10,B-S_X_O,NR,HU,32.0
A,F,HOL,OC1,GE10,B-S_X_O,NR,IE,25.0
A,F,HOL,OC1,GE10,B-S_X_O,NR,IT,29.0
A,F,HOL,OC1,GE10,B-S_X_O,NR,LT,24.0
A,F,HOL,OC1,GE10,B-S_X_O,NR,LV,24.0
A,F,HOL,OC1,GE10,B-S_X_O,NR,NL,23.0
A,F,HOL,OC1,GE10,B-S_X_O,NR,NO,26.0
A,F,HOL,OC1,GE10,B-S_X_O,NR,PL,25.0
A,F,HOL,OC1,GE10,B-S_X_O,NR,PT,24.0
A,F,HOL,OC1,GE10,B-S_X_O,NR,RO,25.0
A,F,HOL,OC1,GE10,B-S_X_O,NR,RS,25.0
A,F,HOL,OC1,GE10,B-S_X_O,NR,SE,31.0
A,F,HOL,OC1,GE10,B-S_X_O,NR,SI,29.0
A,F,HOL,OC1,GE10,B-S_X_O,NR,SK,29.0
A,F,HOL,OC1,GE10,C,NR,AL,22.0
A,F,HOL,OC1,GE10,C,NR,AT,25.0
A,F,HOL,OC1,GE10,C,NR,BA,22.0
A,F,HOL,OC1,GE10,C,NR,BE,23.0
A,F,HOL,OC1,GE10,C,NR,BG,22.0
A,F,HOL,OC1,GE10,C,NR,CH,23.0
A,F,HOL,OC1,GE10,C,NR,CY,
